,news_title
42,"글로벌 칼럼 | '머신러닝 기반의 자율 보안', 설득이 되지 않는 이유"
43,"현대엔지니어링, 인재채용에 'AI 면접' 도입…""머신러닝 통해 신뢰도 높여나갈 것"""
44,"모젠코리아, '머신러닝 통합 보안 분석 플랫폼 '스타라이트3.3버전' 공개"
45,[2019 헤럴드디자인포럼] “머신러닝에는 ‘아하’의 순간은 없다…오로지 훈련만 있을 뿐”
46,자율 주행에서 머신 비전까지··· ‘HPC+AI’ HPE 글로벌 사례 집중 분석 - IDG Summary
47,"[인공지능 365] ""AI 기술개발·기업 지원"" 목소리 높여"
48,모바일 운전면허증 내년 출시…폰만으로 신분확인 OK
49,"반도체 설계에 사용되는 AI…""머신러닝으로 7나노 공정 시간, 3배 단축"""
50,"크리테오, 머신러닝 기반 모바일 광고 솔루션 '앱 인스톨' 출시"
51,"'차현우♥' 황보라, 레깅스 신고 러닝머신..감탄 나는 일자 다리 [★SHOT!]"
52,"[증권워치] 한국투자증권, 뱅키스 전용 ELS 출시 外"
53,양동근은 약속을 지키는 조이의 모습을 보며 기특해했다? '양'
54,"클라우데라, 통합 데이터 플랫폼 CDP 발표"
55,"신한금융, 금융데이터 활용 머신러닝 알고리즘 향상을 위한 방법론 제시"
56,AWS “언제 어디서나 기기 제한 없이 AI-ML 제공”
57,"'원래도 이쁜' 홍선영, ""건강하고 예뻐질 거야""…20kg 감량에도 러닝 머신 99분"
58,"""굴욕無 각선미""…한채영, 러닝머신 달리는 바비인형 [★SHOT!]"
59,“데이터 과학자 없는 머신러닝” AutoML의 이해
60,IDG 블로그 | 머신러닝 운영은 클라우드옵스에 적합하지 않다
61,[포럼] `머신러닝` 파괴력에 주목하라
62,"[HI★뭐하세요?] 걷고 또 걷는 황보라, ‘비 올 땐 러닝머신이죠’"
63,기후변화 문제 해결에 인공지능이 도움될까?
64,고난이 뇌파검사도 딥러닝 AI가 분석한다
65,"아폴터, 100주년 맞이해 로봇·머신러닝·CNC 제어에 투자 확대"
66,"[PRNewswire] 틸리움, 내장형 머신러닝 기술 틸리움(R)프리딕트 출시"
67,"글루시스, 딥러닝 기반 서버 장애 예측 시스템 특허 취득"
68,"알리바바도 AI 칩 선보여...""GPU보다 10배 빨라"""
69,고객·직원·브랜드 경험도 데이터 분석 통해 '업'··· 퀄트릭스의 야심찬 계획
70,"수아랩, 딥러닝 머신비전 ‘수아킷 2.3 버전’ 출시...3가지 기능 강화"
71,얼굴을 씻기는 모습이 공개됐다 똥강아지들
72,"머신러닝 접목한 보안, 실용화 돌파구 찾다"
73,'클라우데라 데이터 플랫폼' 발표...클라우드서 데이터 분석 가능
74,"[AIF 2019] 윤상호 구글페이 리더 ""머신러닝의 미래는 데이터사이언스가 좌우"""
75,"홍진영 언니 홍선영, 20kg 감량 후 ""러닝 머신 99분은 기본"""
76,"신한은행-고려대학교, ‘머신러닝’ 시각화 기술 개발 성공"
77,"인공지능 및 머신러닝 프로젝트, 얼마나 안전할까"
78,"박지호 대표 ""과기부, 리앤팍스 VR영업규제 해소 기쁘다"""
79,"구글, AI 학습도 '온디바이스'로...“프라이버시 문제 해소”"
80,"마이크로소프트, 악성코드 탐지에 딥러닝 본격 도입"
81,"신정환 CTO “카카오, 자체 개발 기술 나눠 쓸 것”…‘카카오 테크’ 론칭"
82,"마인즈랩, CUDA 기술 활용해 딥러닝 기반 AI 성능 개선"
83,"[체중관리] '헬스장에서 어떤 운동 할 지 모르겠다면'… 런닝머신만 뛸 줄 알아, 올바른 기구 사용법은?"
84,"[애플리케이션노트] 수아랩, SuaKIT 딥러닝 머신비전 소프트웨어 라이브러리"
85,[신간소개] 실무가 훤히 보이는 머신러닝&딥러닝
86,"엔비디아, 'VM웨어 클라우드 온 AWS'에 GPU 가속화 지원"
87,[박용인의 JOB카툰] AI를 똑똑하게 가르치는 선생님 '머신 러닝 엔지니어'
88,"‘똥강아지들’ 하승진, 입학상담부터 피트니스 수업까지 상상초월 애견 유치원"
89,"[금융워치] KEB하나은행, '영하나 러닝크루 2기' 공개모집 外"
90,"“전공 불문, 모든 분야에서 머신 러닝·인공지능 중요”"
91,"KB증권, 고려대와 머신러닝 활용한 투자서비스 업무제휴"
92,"'대한외국인' 함소원, 출산 전날까지 러닝머신을? ""40분 걸어"""
93,"다트 언어, 코드 완성 위해 머신러닝 활용"
94,"제주대-JDC, '머신러닝 국제캠프 제주 2019' 개최"
95,"[교육소식]부산교육청, 머신러닝 학습 동아리 운영 등"
96,"구글이 똑똑한 머신러닝 만드는 방법…“내 스마트폰이 AI 두뇌"""
97,"""집에 오니 좋다"" 호날두 러닝머신…팬들 단체소송 추진"
98,"아마존, '엔비디아 T4 GPU'로 클라우드에 최고 AI 성능 제공"
99,"""'알파고' 딥러닝 기술로 18개월 후 엘니뇨 발생 예측한다"""
100,"알리바바그룹, 머신러닝 특화 NPU '한광800' 공개"
101,"함소원 ""출산 전날 러닝머신에서 40분 걸어"" ('대한외국인')"
102,"신한은행, 고려대와 머신러닝 시각화 기술 개발"
103,"글로벌 칼럼 | '머신러닝 기반의 자율 보안', 설득이 되지 않는 이유"
104,신한은행-고려대학교 산학협력과제 성료···'머신러닝' 모형 이해를 위한 시각화 기술 개발 성공
105,"현대엔지니어링, 인재채용에 'AI 면접' 도입…""머신러닝 통해 신뢰도 높여나갈 것"""
106,"모젠코리아, '머신러닝 통합 보안 분석 플랫폼 '스타라이트3.3버전' 공개"
107,"KB증권-고려대, 머신러닝 활용한 투자서비스 업무 제휴"
108,[2019 헤럴드디자인포럼] “머신러닝에는 ‘아하’의 순간은 없다…오로지 훈련만 있을 뿐”
109,"수아랩, 딥러닝 머신비전 '수아킷 2.3 버전' 출시"
110,"KB증권-고려대, 머신러닝 활용한 투자서비스 업무 제휴"
111,[2019 헤럴드디자인포럼] “머신러닝에는 ‘아하’의 순간은 없다…오로지 훈련만 있을 뿐”
112,"신한은행, 머신러닝 모형 이해 시각화기술 개발"
113,"수아랩, 딥러닝 머신비전 '수아킷 2.3 버전' 출시"
114,자율 주행에서 머신 비전까지··· ‘HPC+AI’ HPE 글로벌 사례 집중 분석 - IDG Summary
115,"'AI 머신기업' 라온피플 ""의료·교통 영역으로 사업 확대"""
116,"신한은행, 고려대와 ‘머신러닝’ 모형 이해 높이는 시각화 기술 개발"
117,"[인공지능 365] ""AI 기술개발·기업 지원"" 목소리 높여"
118,모바일 운전면허증 내년 출시…폰만으로 신분확인 OK
119,"반도체 설계에 사용되는 AI…""머신러닝으로 7나노 공정 시간, 3배 단축"""
120,"[인공지능 365] ""AI 기술개발·기업 지원"" 목소리 높여"
121,"수아랩, 딥러닝 머신비전 ‘수아킷 2.3 버전’ 출시"
122,"신한은행, 고려대와 AI 머신러닝 모형 이해 돕는 시각화 기술 개발"
123,모바일 운전면허증 내년 출시…폰만으로 신분확인 OK
124,"반도체 설계에 사용되는 AI…""머신러닝으로 7나노 공정 시간, 3배 단축"""
125,"`대한외국인` 함소원, 몸매관리 비결 공개 ""매일 운동…출산 전날도 러닝머신"""
126,신한銀-고려대학교와 '맞손'…머신러닝 모형 이해 위한 시각화 기술 개발
127,"크리테오, 머신러닝 기반 모바일 광고 솔루션 '앱 인스톨' 출시"
128,"'차현우♥' 황보라, 레깅스 신고 러닝머신..감탄 나는 일자 다리 [★SHOT!]"
129,"[증권워치] 한국투자증권, 뱅키스 전용 ELS 출시 外"
130,"신한은행, 고려대와 머신러닝 시각화 기술 개발"
131,"크리테오, 머신러닝 기반 모바일 광고 솔루션 '앱 인스톨' 출시"
132,"'차현우♥' 황보라, 레깅스 신고 러닝머신..감탄 나는 일자 다리 [★SHOT!]"
133,"[증권워치] 한국투자증권, 뱅키스 전용 ELS 출시 外"
134,양동근은 약속을 지키는 조이의 모습을 보며 기특해했다? '양'
135,"KB증권-고려대, 머신러닝 활용한 투자서비스 업무제휴 체결"
136,"클라우데라, 통합 데이터 플랫폼 CDP 발표"
137,"신한금융, 금융데이터 활용 머신러닝 알고리즘 향상을 위한 방법론 제시"
138,AWS “언제 어디서나 기기 제한 없이 AI-ML 제공”
139,"'원래도 이쁜' 홍선영, ""건강하고 예뻐질 거야""…20kg 감량에도 러닝 머신 99분"
140,"""굴욕無 각선미""…한채영, 러닝머신 달리는 바비인형 [★SHOT!]"
141,"'AI 결과 설명 쉽게!' 신한은행, 고려대와 머신러닝 모형 이해 시각화 기술 개발"
142,"황보라, '♥차현우' 반한 자기관리 끝판왕..비오는 날의 러닝머신"
143,"KB증권, 고려대와 머신러닝을 활용한 투자서비스 업무제휴 체결"
144,"아마존, 클라우드 개발자 대상 기술 컨퍼런스 개최"
145,"블랙베리 사일런스 ""AI·머신러닝 보안 플랫폼으로 韓 공략"""
146,“데이터 과학자 없는 머신러닝” AutoML의 이해
147,IDG 블로그 | 머신러닝 운영은 클라우드옵스에 적합하지 않다
148,‘대한외국인’ 함소원 “몸매비결? 출산 전날에도 러닝머신 40분”[오늘TV]
149,[포럼] `머신러닝` 파괴력에 주목하라
150,"KB증권-고려대, 머신러닝 활용한 투자서비스 업무제휴"
151,[포럼] `머신러닝` 파괴력에 주목하라
152,"신한은행-고려대, '머신러닝' 모형 이해 위한 시각화 기술 개발 성공"
153,"신한은행, 머신러닝 모형 시각화 기술 개발 성공"
154,"[HI★뭐하세요?] 걷고 또 걷는 황보라, ‘비 올 땐 러닝머신이죠’"
155,"시큐리온, 모바일 백신 발표…포화된 백신 시장 생존전략은?"
156,기후변화 문제 해결에 인공지능이 도움될까?
157,고난이 뇌파검사도 딥러닝 AI가 분석한다
158,"아폴터, 100주년 맞이해 로봇·머신러닝·CNC 제어에 투자 확대"
159,"수아랩, 수아킷 2.3 버전 출시"
160,기후변화 문제 해결에 인공지능이 도움될까?
161,고난이 뇌파검사도 딥러닝 AI가 분석한다
162,"[뉴스투데이 E] KB증권-고려대, 머신러닝 활용 투자 업무제휴"
163,"아폴터, 100주년 맞이해 로봇·머신러닝·CNC 제어에 투자 확대"
164,"수아랩, 수아킷 2.3 버전 출시"
165,"[PRNewswire] 틸리움, 내장형 머신러닝 기술 틸리움(R)프리딕트 출시"
166,"글루시스, 딥러닝 기반 서버 장애 예측 시스템 특허 취득"
167,"알리바바도 AI 칩 선보여...""GPU보다 10배 빨라"""
168,고객·직원·브랜드 경험도 데이터 분석 통해 '업'··· 퀄트릭스의 야심찬 계획
169,"수아랩, 딥러닝 머신비전 ‘수아킷 2.3 버전’ 출시...3가지 기능 강화"
170,"수아랩, 딥러닝 머신비전 ‘수아킷 2.3 버전’ 출시...3가지 기능 강화"
171,"모바일 운전면허증, ICT 규제 샌드박스로 국내 최초 도입!"
172,"함소원 “2007년부터 매일 운동, 출산 하루 전까지 러닝머신” (비스)"
173,"KB증권, 인공지능 종목추천 개발 위해 고려대와 맞손"
174,얼굴을 씻기는 모습이 공개됐다 똥강아지들
175,"신한금융그룹 연구소, 북중미 정보시스템학회서 금융 머신러닝 연구결과 발표"
176,"머신러닝 접목한 보안, 실용화 돌파구 찾다"
177,'클라우데라 데이터 플랫폼' 발표...클라우드서 데이터 분석 가능
178,"신한은행-고려대, 머신러닝 모형 이해 돕는 시각화 기술 개발"
179,"구글 클라우드 AI, 넷마블에 지능형 게임 기술 지원"
180,"신한은행-고려대, 머신러닝 모형 이해 돕는 시각화 기술 개발"
181,"KB證-고려대, 머신러닝 활용한 투자서비스 업무제휴"
182,"구글 클라우드 AI, 넷마블에 지능형 게임 기술 지원"
183,"'걷기 전도사' 황보라 ""비오는 날은 러닝머신"""
184,"'22㎏ 감량' 홍선영, 브이라인 자랑하며 ""러닝머신 99분은 기본"""
185,"[AIF 2019] 윤상호 구글페이 리더 ""머신러닝의 미래는 데이터사이언스가 좌우"""
186,"신한은행-고려대, 산학협력과제 성료...'머신러닝' 모형 이해 위한 시각화 기술 개발"
187,"홍진영 언니 홍선영, 20kg 감량 후 ""러닝 머신 99분은 기본"""
188,"신한은행-고려대학교, ‘머신러닝’ 시각화 기술 개발 성공"
189,반도체 설계툴 효율과 정확성 높일 AI
190,"홍진영 언니 홍선영, 20kg 감량 후 ""러닝 머신 99분은 기본"""
191,"신한은행-고려대학교, ‘머신러닝’ 시각화 기술 개발 성공"
192,"구글 클라우드, 넷마블 지능형 게임 기술에 AI 기술 지원"
193,반도체 설계툴 효율과 정확성 높일 AI
194,"신한은행-고려대, '머신러닝' 모형 이해 위한 시각화 기술 개발 성공"
195,"[한눈 중국경제] 알리바바·WFP, 기아 퇴치 위한 차세대 머신러닝 기술 공개"
196,"인공지능 및 머신러닝 프로젝트, 얼마나 안전할까"
197,"박지호 대표 ""과기부, 리앤팍스 VR영업규제 해소 기쁘다"""
198,"수아랩, 딥러닝 머신비전 '수아킷 2.3 버전' 출시"
199,"구글, AI 학습도 '온디바이스'로...“프라이버시 문제 해소”"
200,"구글, AI 학습도 '온디바이스'로...“프라이버시 문제 해소”"
201,"마이크로소프트, 악성코드 탐지에 딥러닝 본격 도입"
202,"신정환 CTO “카카오, 자체 개발 기술 나눠 쓸 것”…‘카카오 테크’ 론칭"
203,[IPO현미경] 영화에서 보던 'AI 교통신호'...라온피플 18일 코스닥 상장
204,"마인즈랩, CUDA 기술 활용해 딥러닝 기반 AI 성능 개선"
205,"블랙베리 사일런스, 총판 파고네트웍스 EPP·EDR+MDR 전략으로 한국 시장 확대 강화"
206,"신한금융, 빅데이터 연구 성과 국제학회 등재"
207,ICT 규제샌드박스 6차 심위위 개최...모바일 운전면허 등 논의
208,"[체중관리] '헬스장에서 어떤 운동 할 지 모르겠다면'… 런닝머신만 뛸 줄 알아, 올바른 기구 사용법은?"
209,넷마블 지능형 게임 기술 ‘콜럼버스·마젤란’에 구글 클라우드 AI 활용
210,"구글 클라우드 AI, 넷마블 게임 비즈니스 혁신 위한 지능형 게임 기술 지원"
211,"[애플리케이션노트] 수아랩, SuaKIT 딥러닝 머신비전 소프트웨어 라이브러리"
212,"신한은행, 고려대와 ‘머신러닝’ 이해 돕는 시각화 기술 개발 성공"
213,[신간소개] 실무가 훤히 보이는 머신러닝&딥러닝
214,"바비인형 에스라인 한채영 ""쓰러기지 직전"" 모닝 런닝머신"
215,"엔비디아, 'VM웨어 클라우드 온 AWS'에 GPU 가속화 지원"
216,"멘토 지멘스 비즈니스, AI가 반도체 및 EDA에 미치는 영향력 발표"
217,[박용인의 JOB카툰] AI를 똑똑하게 가르치는 선생님 '머신 러닝 엔지니어'
218,"‘똥강아지들’ 하승진, 입학상담부터 피트니스 수업까지 상상초월 애견 유치원"
219,"[금융워치] KEB하나은행, '영하나 러닝크루 2기' 공개모집 外"
220,"신한은행, 고려대와 머신러닝 모형 적용 시각화 기법 기술 개발 성공"
221,"‘똥강아지들’ 하승진, 입학상담부터 피트니스 수업까지 상상초월 애견 유치원"
222,"멘토 지멘스비즈니스, 'AI가 반도체 및 EDA에 미치는 영향력' 발표"
223,"[금융워치] KEB하나은행, '영하나 러닝크루 2기' 공개모집 外"
224,"구글 클라우드 AI, 넷마블 지능형 게임 기술 지원"
225,"[Tech] 엔비디아, 'VM웨어 클라우드 온 AWS'에 GPU 가속화 지원"
226,"“전공 불문, 모든 분야에서 머신 러닝·인공지능 중요”"
227,"신한금융, 국제학회에 디지털 논문 등재…""국내 금융그룹 최초"""
228,"KB증권, 고려대와 머신러닝 활용한 투자서비스 업무제휴"
229,"크리테오, 머신러닝 기반 모바일 앱 광고 솔루션 '앱 인스톨' 출시"
230,"신한금융, 국제학회에 디지털 논문 등재…""국내 금융그룹 최초"""
231,"KB증권, 고려대와 머신러닝 활용한 투자서비스 업무제휴"
232,"크리테오, 머신러닝 기반 모바일 앱 광고 솔루션 '앱 인스톨' 출시"
233,"구글 클라우드 AI, 넷마블 지능형 게임 기술 지원"
234,"'대한외국인' 함소원, 출산 전날까지 러닝머신을? ""40분 걸어"""
235,"다트 언어, 코드 완성 위해 머신러닝 활용"
236,"AWS, 개발자 교육 행사 'AWS Dev Day' 서울대에서 개최"
237,"제주대-JDC, '머신러닝 국제캠프 제주 2019' 개최"
238,"[교육소식]부산교육청, 머신러닝 학습 동아리 운영 등"
239,"구글이 똑똑한 머신러닝 만드는 방법…“내 스마트폰이 AI 두뇌"""
240,"구글이 똑똑한 머신러닝 만드는 방법…“내 스마트폰이 AI 두뇌"""
241,"신한은행·고려대, '머싱러닝' 이해 돕는 시각화 기법 기술 개발"
242,"""집에 오니 좋다"" 호날두 러닝머신…팬들 단체소송 추진"
243,"아마존, '엔비디아 T4 GPU'로 클라우드에 최고 AI 성능 제공"
244,"""'알파고' 딥러닝 기술로 18개월 후 엘니뇨 발생 예측한다"""
245,"신한디지털혁신硏, 빅데이터 연구 국제학회 첫 등재"
246,"뇌파 검사에 딥러닝 모델 도입, 각성 및 수면 단계 구분…인공지능 적용 가능성 확인"
247,"멘토 ""EDA 툴에도 AI 기술 적극 활용"""
248,"구글 클라우드, 넷마블 ‘콜럼버스’·‘마젤란’에 AI 기술 제공"
249,"멘토 지멘스 비즈니스, 'AI가 반도체 및 EDA에 미치는 영향력' 발표..반도체 설계 산업 지속 성장"
250,"구글 클라우드, 넷마블 ‘콜럼버스’·‘마젤란’에 AI 기술 제공"
251,"멘토 지멘스 비즈니스, 'AI가 반도체 및 EDA에 미치는 영향력' 발표..반도체 설계 산업 지속 성장"
252,"[2019부산스마트팩토리] 수아랩, 머신비전 검사 딥러닝 소프트웨어 'SuaKIT' 선보여"
253,"카카오, 머신러닝 문제해결 대회 '카카오아레나' 개최"
254,"함소원 ""몸매 비결? 2007년부터 매일 운동…출산 전날에도 러닝머신"""
255,머신러닝으로 췌장낭종 수술 줄일 수 있다.
256,모든 프로그래밍 요구를 충족하는 12가지 파이썬
257,"신한은행, 고려대와 머신러닝 시각화 기술 개발"
258,[바스리] AI를 위한 노가다 플랫폼(?) '크라우드웍스'
259,"[코스닥IPO] 라온피플 “AI 머신비전, 의료·교통 등 신사업으로 확장”"
260,"[코스닥IPO] 라온피플 “AI 머신비전, 의료·교통 등 신사업으로 확장”"
261,"KB證-고려대, 머신러닝을 활용한 투자서비스 업무제휴"
262,"넷마블, 구글클라우드AI로 게임서비스 지능화"
263,[이슈메이커] 팩트체크를 부르는 딥페이크 시대
264,"크리테오, 머신러닝 기반 모바일 광고 솔루션 출시"
265,"'역할, 책임, 연봉, 자격증으로 알아보는' 데이터 애널리스트"
266,"애플 iOS 13, 머신러닝 기반 배터리 최적화 기능 탑재"
267,엔비디아 'v컴퓨트서버'로 GPU 가상화 지원... 또 한번 가상 클라이언트 컴퓨팅 분야 혁신 나선다
268,[뉴스워커_신한은행] '시각화 기법' 기술 개발 성공
269,"[운동법] '헬스장에서 의미 없는 시간만 보낸다면'… 런닝머신만 뛸 줄 알아, 운동 기구 올바르게 사용하고 싶다면?"
270,"크리테오, 머신러닝 기반 광고 솔루션 '앱 인스톨' 출시"
271,엔비디아 T4 GPU 탑재한 아마존..최고 AI 성능 도전
272,"신한금융, 빅데이터 연구성과 국제학회 등재"
273,‘인공지능(AI)가 반도체 및 EDA에 미치는 영향력’
274,"엔비디아, VM웨어와 파트너십 통해 클라우드 GPU 가속화 지원"
275,[1급 관사] 와인셀러에 러닝머신…세금으로 '신혼집' 꾸미듯
276,"멘토, '멘토 포럼 2019'서 AI가 반도체 및 EDA에 미치는 영향력 발표"
277,"그리드원 ""소프트웨어 2.0 시대, RPA도 변화한다"""
278,"멘토 IC EDA 부문 수석 부사장 ""반도체 설계 산업이 지속 성장할 것"""
279,"신한은행, 고려대와 산학협력으로 ‘시각화 기법’ 기술 개발"
280,"신한금융, 신한디지털혁신연구소 빅데이터 연구성과 국제학회 등재"
281,"그리드원 ""소프트웨어 2.0 시대, RPA도 변화한다"""
282,"멘토 IC EDA 부문 수석 부사장 ""반도체 설계 산업이 지속 성장할 것"""
283,"신한은행, 고려대와 산학협력으로 ‘시각화 기법’ 기술 개발"
284,"""네버다이 SSD, SSD 가상화, V낸드 머신러닝"" 삼성전자, 혁신 기술 적용한 SSD 19종 출시"
285,"엔비디아, T4 GPU로 아마존 클라우드에 높은 AI 성능 제공"
286,전 세계의 건강을 책임지는 블록체인 헬스케어 플랫폼 '카디오코인'
287,"HR 분야 20년 한 우물 판 코너스톤이 답했다 ""우리가 '러닝'을 중요하게 여기는 이유는"""
288,"[인터뷰] 게임 최적화부터 도시 설계까지, '유니티 시뮬레이션'"
289,[신간] 클라우드 기반의 머신러닝 개론 실용주의 인공지능
290,[신간] 클라우드 기반의 머신러닝 개론 실용주의 인공지능
291,"獨, 원발성 폐암과 두경부암 구분 가능한 머신러닝 알고리즘 개발"
292,"모젠코리아, AI 통합 보안 분석 플랫폼 출시"
293,"신한금융, 빅데이터 연구 성과 국제학회 등재"
294,"[체중관리] '헬스장에 가긴했는데'… 런닝머신밖에 할 줄 몰라, 기구 어떻게 이용해야 몸짱 될까?"
295,"IBM, 기업용 오픈소스 머신러닝 데이터 저장소 열어"
296,"[IPO 간담회] AI 머신비전 솔루션기업 '라온피플', 10월 상장"
297,"소프트웨어 2.0의 시대, 변화하는 RPA로 완전자동화 꿈꾼다"
298,"엔비디아, 'VM웨어 클라우드 온 AWS'에 GPU 가속화 지원"
299,"글루시스, 딥러닝 기반 '서버 장애 예측' 특허 취득"
300,"글루시스, 딥러닝 기반 '서버 장애 예측' 특허 취득"
301,"그리드원 ""소프트웨어 2.0 시대, RPA 선도"""
302,"‘대한외국인’ 함소원, “출산 전날에도 러닝머신…10년 넘게 매일 운동했다”"
303,"신한은행·고려대, 인공지능 산학협력 과제 완료…시각화 기법 기술 개발"
304,자동화·AI·머신러닝··· '농업이 기술을 만났을 때'
305,"AI·머신러닝, 핀테크에 특화된 기술 개발 앞당긴다"
306,"클래스팅, '2019 이러닝 코리아' 교육부 정책관서 미래 교육 시연"
307,"네이버, 머신러닝 컨퍼런스 'ICML 2019'서 연구성과 발표"
308,"위세아이텍, ""머신러닝·빅테이터 분석 '트렌드세터'"""
309,"피앤디솔루션-Tamr, 'AI&머신러닝 통한 데이터 통합 및 활용 세미나' 개최"
310,"피앤디솔루션-Tamr, 'AI&머신러닝 통한 데이터 통합 및 활용 세미나' 개최"
311,"하이퍼커넥트, 인터스피치 학회서 최신 AI 기술 발표"
312,"뛰기 싫다더니 런닝머신···""한국 기만"" 폭발시킨 호날두 영상"
313,신한은행-고려대 산학협력 과제 완료
314,[포춘US]현실이 된 딥페이크와의 전쟁
315,"시큐리온의 머신러닝 기반 안티바이러스 ‘OnAV’, 탐지율 100%로 PCSL 4회 연속 인증"
316,"쿤텍, 머신러닝 기반 애플리케이션 '보안 점검' 솔루션 출시"
317,웨어러블 브레인 머신으로 휠체어 제어한다
318,AI '소프트웨어' 말고 AI '개발툴'··· 프로그래밍 바꾸는 머신러닝 5종
319,"[기고] SDN+AI, 지능 정의형 네트워크 주목하라"
320,"[기고] SDN+AI, 지능 정의형 네트워크 주목하라"
321,"쿤텍, 머신러닝 기반 애플리케이션 보안 점검 솔루션 '넥스플로잇' 출시"
322,"하이퍼커넥트, '인터스피치 2019'서 음성인식 AI 연구 성과 발표"
323,"데이터로봇, 쏘카에 머신러닝 자동화 솔루션 공급"
324,"JDC, '머신러닝 국제캠프 제주 2019' 공동 개최"
325,'부상'이라더니 러닝머신 위에서 '댄싱두' 근황 공개한 호날두
326,"신생 반도체 업체 세레브라스, 거대한 AI 칩 탑재한 머신러닝 서버 출시"
327,"BNK금융, 애자일소다와 AI 역량 강화 추진"
328,데이터 과학과 머신러닝에 데브옵스 적용하기
329,"[몸매가꾸기] '헬스장에 출석 도장만 찍는다면'… 런닝머신만 하면 소용없어, 기구 어떻게 이용해야 몸짱 될까?"
330,"[몸매가꾸기] '헬스장에 출석 도장만 찍는다면'… 런닝머신만 하면 소용없어, 기구 어떻게 이용해야 몸짱 될까?"
331,"수아랩, ‘2019 스마트팩토리 어워드 코리아’ AI 부문 대상 받아"
332,"데이터로봇, 쏘카에 머신러닝 자동화 솔루션 공급"
333,러닝머신으로 8개월만에 20㎏ 감량…놀라운 신체 변화 공개
334,"한은·한국통계학회, '2019 공동포럼' 개최"
335,"AMD, 차세대 쓰레드리퍼 정보 연내 공개 예정 ""AI·머신러닝 칩에도 힘 쏟을 것"""
