,custid,age,sex,marital,area,education,amt_nike,amt_hnm,amt_strbk,amt_dgt,amt_book,amt_htl,amt_prmmsneakers,cnt_pstyr,amt_pstyr,cnt_login,amt_nxtyr,cnt_nxtyr
76,77,27,F,single,SEOL,university,25000,0,23400,0,0,0,0,4,230857.0,12,36019,7
77,78,27,F,single,SEOL,college,0,0,15200,0,0,0,0,3,219543.0,16,199335,10
78,79,27,F,single,SEOL,university,0,0,34400,0,0,0,0,2,228722.0,21,426739,8
79,80,27,F,divorced,SEOL,university,37800,28200,34400,0,0,0,79600,4,231439.0,11,412930,15
80,81,28,F,single,SEOL,college,23000,0,0,0,0,0,256100,2,221953.0,12,226342,8
81,82,27,F,single,SEOL,university,23000,0,31700,0,0,0,0,4,210076.0,16,490454,10
82,83,27,F,single,SEOL,college,0,0,19400,0,0,0,0,3,229052.0,12,209161,3
83,84,28,F,single,SEOL,university,0,0,28600,0,0,99100,0,2,250958.0,17,493109,7
84,85,28,F,single,SEOL,university,24200,0,20600,0,0,0,158900,4,209586.0,15,115788,11
85,86,27,F,single,SEOL,university,29200,0,27300,0,0,0,0,4,245328.0,15,226304,13
86,87,27,F,single,SEOL,university,23000,0,14300,0,0,0,0,3,231119.0,15,204909,8
87,88,27,F,single,SEOL,master,0,0,0,0,0,0,275400,2,218552.0,2,171732,5
88,89,28,F,single,SEOL,university,0,28400,20200,0,0,102000,0,4,205902.0,13,405603,10
89,90,27,F,single,SEOL,university,24500,0,26300,0,37000,0,0,5,249752.0,10,339562,10
90,91,27,F,single,SEOL,university,21100,0,27400,0,0,0,99800,4,208409.0,14,353303,5
91,92,27,F,single,SEOL,university,29600,0,21700,0,0,115400,0,3,256507.0,14,336221,14
92,93,27,F,single,SEOL,university,0,0,18300,0,0,0,0,2,199756.0,12,54853,5
93,94,27,F,single,SEOL,university,0,0,30200,0,0,0,0,3,250722.0,10,332721,13
94,95,27,F,single,SEOL,university,23000,0,0,0,0,0,0,2,211286.0,13,399420,5
95,96,28,F,single,SEOL,university,20900,0,27100,0,0,0,0,4,203171.0,20,71251,9
96,97,27,F,single,SEOL,university,23000,0,12600,0,0,0,0,4,223473.0,11,98529,11
97,98,27,F,single,SEOL,university,0,36600,17700,0,0,0,0,4,208551.0,16,414414,10
98,99,27,F,single,SEOL,college,0,0,19300,0,0,0,0,2,225532.0,14,461884,7
99,100,27,F,single,SEOL,college,23100,0,38000,0,0,0,0,4,220827.0,19,582144,10
100,101,27,F,single,SEOL,university,23000,0,20500,0,0,0,0,4,223342.0,14,385125,11
101,102,27,F,single,SEOL,university,23000,0,0,0,0,0,0,2,198090.0,14,311184,14
102,103,28,F,single,SEOL,university,0,0,42600,0,0,0,0,3,218940.0,13,529082,13
103,104,27,F,single,SEOL,university,0,0,20300,0,0,0,0,4,240306.0,21,500213,11
104,105,27,F,single,SEOL,university,26200,0,34100,0,32000,0,132500,4,264420.0,17,314689,11
105,106,28,F,single,SEOL,university,23000,0,29200,0,0,110100,0,4,234582.0,3,379899,10
106,107,27,F,single,SEOL,university,24700,47900,24000,0,0,0,0,4,223897.0,8,289492,7
107,108,27,F,single,SEOL,college,0,0,27900,0,0,95300,0,2,228317.0,16,389626,7
108,109,27,F,single,SEOL,university,0,0,0,0,0,0,0,2,188618.0,16,204292,2
109,110,28,F,single,SEOL,university,23000,0,22300,0,0,0,0,4,241584.0,18,248005,10
110,111,27,F,single,SEOL,university,20800,0,17200,0,0,0,94600,4,234371.0,25,374860,11
111,112,27,F,single,SEOL,university,24800,0,22800,0,29000,0,0,4,226346.0,15,228225,10
112,113,27,F,single,SEOL,university,0,0,12400,0,0,0,71800,2,203836.0,21,488363,2
113,114,28,F,single,SEOL,university,0,0,26500,0,0,0,0,2,198371.0,18,466993,8
114,115,28,F,single,SEOL,university,30400,0,23300,0,0,0,0,4,262265.0,12,407975,9
115,116,27,F,single,SEOL,university,23000,26400,0,0,0,127700,74300,4,219364.0,11,375797,11
116,117,27,F,single,SEOL,university,37100,0,33200,0,0,0,106300,3,255902.0,8,442856,2
117,118,27,F,single,SEOL,university,0,0,22200,0,21000,144800,0,4,199066.0,23,131730,8
118,119,28,F,single,SEOL,university,0,0,18500,0,0,0,0,2,202648.0,17,365265,10
119,120,27,F,single,SEOL,university,23000,0,17800,0,0,0,0,4,172509.0,14,480089,8
120,121,28,F,single,SEOL,university,23000,0,18400,0,0,96100,0,3,209443.0,18,388793,3
121,122,27,F,single,SEOL,university,21300,0,24900,0,34000,0,0,3,237526.0,20,254856,15
122,123,27,F,single,SEOL,college,0,0,0,0,0,0,0,1,194756.0,17,309287,14
123,124,28,F,single,SEOL,university,0,0,19000,0,0,0,0,2,190016.0,19,415417,10
124,125,27,F,single,SEOL,university,24000,33200,38100,0,0,0,67200,6,247354.0,11,241855,11
125,126,28,F,single,SEOL,university,21400,0,30100,0,0,0,84200,4,202232.0,9,134908,2
126,127,27,F,single,SEOL,university,23000,0,22600,0,0,0,0,4,247735.0,15,548339,10
127,128,28,F,single,SEOL,master,0,0,33300,0,0,0,67900,2,232714.0,22,352165,16
128,129,27,F,single,SEOL,university,0,0,19500,0,0,0,0,3,265649.0,15,477142,8
129,130,27,F,single,SEOL,university,23200,0,0,0,0,0,0,3,189510.0,9,215001,5
130,131,27,F,single,SEOL,university,21200,0,15400,0,0,101500,0,3,226787.0,12,261818,12
131,132,28,F,single,SEOL,college,23000,0,28900,0,0,107100,72000,4,192203.0,20,256486,4
132,133,27,F,single,SEOL,university,0,0,25300,0,0,0,0,2,195957.0,16,224035,7
133,134,28,F,single,SEOL,university,0,27300,36400,0,0,0,0,3,253036.0,10,438443,11
134,135,28,F,single,SEOL,master,22100,0,55000,0,0,0,0,4,207259.0,11,163001,11
135,136,27,F,single,SEOL,university,24200,0,16100,0,0,0,0,4,213808.0,15,259948,11
136,137,28,F,single,SEOL,university,23000,0,0,0,0,0,0,2,223102.0,10,148207,17
137,138,27,F,single,SEOL,college,0,0,27600,0,0,0,0,2,233545.0,15,382602,2
138,139,27,F,single,SEOL,college,0,0,28100,0,0,0,0,3,224518.0,9,423522,8
139,140,27,F,single,SEOL,university,23700,0,12400,0,0,0,95500,4,214539.0,18,384404,11
140,141,27,F,single,SEOL,university,23000,0,29300,0,0,0,0,4,203657.0,15,296753,10
141,142,27,F,single,SEOL,college,23000,0,28600,0,0,0,0,3,198039.0,24,176834,11
142,143,27,F,single,SEOL,university,0,22900,30300,0,0,227300,0,3,226058.0,17,499728,5
143,144,27,F,single,SEOL,college,0,0,0,0,0,0,0,1,240899.0,18,343926,5
144,145,27,F,single,SEOL,university,23000,0,28700,0,0,0,0,4,222338.0,18,144867,8
145,146,27,F,single,SEOL,university,26700,0,33900,0,0,0,206200,5,243187.0,10,482667,9
146,147,27,F,single,SEOL,college,22500,0,21500,0,0,0,69800,4,231079.0,14,477045,10
147,148,27,F,single,SEOL,university,0,0,21300,0,0,0,0,2,220076.0,13,439761,10
148,149,27,F,single,SEOL,university,0,0,36100,0,0,0,0,2,207698.0,17,350637,10
149,150,28,F,single,SEOL,university,21200,0,31000,0,0,0,140600,4,198211.0,11,184307,6
150,151,28,F,divorced,SEOL,university,23000,0,0,0,0,176500,0,3,212375.0,14,82006,10
151,152,27,F,single,SEOL,university,25100,49200,25100,0,0,0,0,5,266058.0,10,535894,13
152,153,27,F,single,SEOL,university,0,0,25500,0,0,111000,0,3,253699.0,9,414807,10
153,154,27,F,single,SEOL,college,0,0,27400,0,0,0,0,2,259599.0,4,89545,10
154,155,27,F,single,SEOL,university,40800,0,32800,0,39000,0,0,4,266222.0,14,276863,7
155,156,27,F,single,SEOL,university,24600,0,38500,0,0,0,0,4,234093.0,12,452987,10
156,157,28,F,single,SEOL,university,22400,0,33400,0,0,0,0,4,196815.0,13,201026,11
157,158,27,F,single,SEOL,university,0,0,0,0,0,0,0,1,206564.0,20,234386,26
158,159,28,F,single,SEOL,university,0,0,12800,0,0,0,0,3,198759.0,15,289027,10
159,160,28,F,single,SEOL,phd,25100,0,24900,0,0,0,0,5,235213.0,15,450356,11
160,161,27,F,single,SEOL,college,23800,27700,32100,0,0,123000,74500,5,211811.0,14,291372,11
161,162,27,F,single,SEOL,college,28200,0,26200,0,0,0,0,4,225825.0,19,408447,11
162,163,28,F,single,SEOL,university,0,0,32300,0,0,0,0,3,218002.0,21,447624,10
163,164,27,F,single,SEOL,university,0,0,23800,0,0,0,109400,3,245031.0,18,357072,11
164,165,27,F,single,SEOL,college,21600,0,0,0,20000,0,151600,3,216785.0,7,145488,4
165,166,27,F,single,SEOL,university,23000,0,34700,0,17000,95200,0,4,185533.0,12,152111,6
166,167,28,F,single,SEOL,university,23000,0,30200,0,0,0,0,4,213217.0,12,425270,27
167,168,27,F,single,SEOL,university,0,0,13700,0,0,0,0,3,220327.0,19,384439,10
168,169,28,F,single,SEOL,university,0,0,33500,0,0,0,0,2,213881.0,14,252287,3
169,170,27,F,single,SEOL,university,22200,38300,24700,0,0,0,0,10,199853.0,16,166456,11
170,171,27,F,single,SEOL,university,23300,0,18700,0,0,0,0,4,230117.0,13,357016,7
171,172,27,F,single,SEOL,college,23000,0,0,0,0,0,97600,2,206722.0,16,326915,3
172,173,27,F,single,SEOL,university,0,0,12000,0,0,0,252900,2,215738.0,15,259469,26
173,174,28,F,single,SEOL,university,0,0,23600,0,0,0,0,4,270158.0,12,477694,11
174,175,27,F,single,SEOL,university,23000,0,24300,0,0,0,0,4,201776.0,13,212758,8
175,176,27,F,single,SEOL,university,26300,0,27800,0,0,108600,0,4,246674.0,20,323967,10
176,177,27,F,single,SEOL,university,41700,0,39700,0,0,111700,0,4,236387.0,17,214029,13
177,178,28,F,single,SEOL,university,0,0,19000,0,0,0,0,3,193337.0,13,355590,10
178,179,27,F,single,SEOL,master,0,30000,0,0,18000,0,0,2,184617.0,14,271306,15
179,180,27,F,single,SEOL,university,27600,0,19600,0,0,139700,0,4,246123.0,13,39699,4
180,181,27,F,single,SEOL,university,25800,0,23500,0,0,0,77500,5,219766.0,8,377160,13
181,182,27,F,single,SEOL,university,22800,0,26700,0,0,282800,0,4,228480.0,13,243884,10
182,183,27,F,single,SEOL,university,0,0,20800,0,0,0,0,3,253577.0,16,312631,8
183,184,28,F,single,SEOL,master,0,0,23400,0,0,0,0,2,226879.0,19,529188,10
184,185,27,F,single,SEOL,university,23000,0,21600,0,0,0,0,3,253823.0,13,408727,10
185,186,28,F,single,SEOL,university,32000,0,0,0,0,0,0,3,226666.0,12,404512,12
186,187,27,F,single,SEOL,university,26000,0,22100,0,0,0,78200,4,215231.0,24,211400,10
187,188,28,F,single,SEOL,university,0,19300,25400,0,0,0,0,4,197226.0,16,388156,10
188,189,27,F,single,SEOL,university,0,0,25400,0,0,115800,0,2,237739.0,19,124983,15
189,190,28,F,single,SEOL,phd,27200,0,31600,0,0,0,113600,4,220265.0,15,94469,16
190,191,27,F,single,SEOL,university,23000,0,31800,0,0,0,0,4,161433.0,13,53872,8
191,192,28,F,single,SEOL,college,24200,0,31800,0,0,0,0,3,218352.0,14,437907,10
192,193,27,F,single,SEOL,university,0,0,0,0,0,0,0,1,264217.0,21,108363,4
193,194,28,F,single,SEOL,college,0,0,19900,0,0,0,0,2,243256.0,15,484509,11
194,195,27,F,single,SEOL,college,23000,0,19900,0,0,0,64800,9,195847.0,23,125348,3
195,196,27,F,single,SEOL,university,23000,0,23300,0,0,0,0,3,221126.0,11,268516,8
196,197,27,F,single,SEOL,university,23000,27200,17600,0,0,0,0,10,202741.0,18,200506,13
197,198,27,F,single,SEOL,university,0,0,33600,0,0,191300,96900,3,255391.0,12,518651,8
198,199,27,F,single,SEOL,university,0,0,18300,0,0,0,0,3,219358.0,18,222080,4
199,200,27,F,single,SEOL,university,23000,0,0,0,0,0,0,2,216543.0,9,463799,5
200,201,27,F,single,SEOL,university,23000,0,31500,0,0,0,0,4,185859.0,14,151936,3
201,202,28,F,single,SEOL,university,23000,0,14500,0,0,0,0,4,217367.0,8,406210,12
202,203,28,F,single,SEOL,university,0,0,15600,0,0,137200,0,2,208251.0,10,84789,10
203,204,27,F,single,SEOL,university,0,0,20500,0,0,243400,0,3,169651.0,14,330626,8
204,205,28,F,single,SEOL,university,30900,0,40700,0,0,0,0,4,256687.0,11,401067,3
205,206,28,F,single,SEOL,university,23700,30700,35400,0,0,0,173900,11,230673.0,23,337760,13
206,207,27,F,single,SEOL,college,20700,0,0,0,0,0,0,3,223491.0,14,128798,8
207,208,27,F,single,SEOL,university,0,0,25300,0,0,0,0,3,266592.0,19,625489,8
208,209,27,F,single,SEOL,university,0,0,16500,0,0,0,0,3,216266.0,19,546541,7
209,210,27,F,single,SEOL,master,25500,0,20000,0,0,0,124000,4,238005.0,8,249494,11
210,211,27,F,single,SEOL,university,26600,0,20300,0,0,0,0,4,238409.0,24,559705,11
211,212,27,F,single,SEOL,university,23900,0,24500,0,0,0,0,3,271460.0,9,372068,8
212,213,27,F,single,SEOL,university,0,0,27000,0,0,0,0,3,256212.0,13,276105,10
213,214,27,F,single,SEOL,university,0,0,0,0,0,0,0,1,207429.0,9,51169,10
214,215,28,F,single,SEOL,university,23000,28100,13100,0,0,0,0,9,172654.0,21,147315,13
215,216,27,F,single,SEOL,university,25800,0,26500,0,0,0,0,11,232864.0,16,509191,11
216,217,27,F,single,SEOL,university,23000,0,23900,0,0,0,0,4,221982.0,17,387662,10
217,218,27,F,single,SEOL,university,0,0,21600,0,0,0,0,2,220889.0,2,112403,10
218,219,27,F,single,SEOL,university,0,0,24100,0,25000,0,0,3,239218.0,15,179561,3
219,220,27,F,single,SEOL,university,23000,0,17400,0,0,0,89900,4,206598.0,22,151581,11
220,221,28,F,single,SEOL,university,23000,0,0,0,0,0,0,2,223650.0,11,242806,2
221,222,27,F,single,SEOL,university,23000,0,12500,0,32000,0,0,4,241157.0,11,169067,10
222,223,27,F,single,SEOL,university,0,0,15200,0,0,0,74300,4,228525.0,15,182408,10
223,224,27,F,single,SEOL,university,0,38700,18500,0,0,0,0,3,194959.0,22,270207,2
224,225,27,F,single,SEOL,university,23000,0,17200,0,0,0,0,3,202777.0,20,137486,3
225,226,28,F,single,SEOL,university,34200,0,21400,0,0,0,0,4,214960.0,21,156325,10
226,227,27,F,single,SEOL,university,23000,0,19000,0,0,0,0,4,224512.0,4,222875,10
227,228,28,F,single,SEOL,university,0,0,0,0,0,0,0,2,194135.0,14,46821,2
228,229,27,F,single,SEOL,university,0,0,21300,0,0,0,0,2,236143.0,17,505910,8
229,230,27,F,single,SEOL,university,21600,0,31400,0,0,0,0,9,210910.0,17,374609,11
230,231,27,F,single,SEOL,university,42000,0,33700,0,0,0,0,3,257166.0,13,491554,10
231,232,28,F,single,SEOL,master,21300,0,29900,0,0,97400,0,3,219967.0,22,254393,10
232,233,27,F,single,SEOL,university,0,20600,17300,0,0,0,0,4,248316.0,11,168862,11
233,234,27,F,single,SEOL,university,0,0,18800,0,0,0,0,2,214830.0,21,440236,6
234,235,27,F,single,SEOL,college,21500,0,0,0,0,0,0,3,232248.0,10,108254,10
235,236,27,F,single,SEOL,university,23000,0,18200,0,0,0,0,3,199932.0,16,216969,11
236,237,27,F,single,SEOL,university,22700,0,16600,0,0,0,0,10,204246.0,19,323202,13
237,238,27,F,single,SEOL,college,0,0,35500,0,0,0,0,3,191253.0,12,439665,13
238,239,27,F,single,SEOL,university,0,0,11100,0,0,0,0,2,219097.0,14,286561,5
239,240,27,F,single,SEOL,university,23000,0,29900,0,0,134000,0,4,199450.0,22,306897,14
240,241,27,F,single,SEOL,university,22400,0,31600,0,0,176600,0,4,187576.0,20,313753,11
241,242,27,F,single,SEOL,university,20200,37400,0,0,0,0,0,4,211807.0,9,359903,11
242,243,28,F,single,SEOL,university,0,0,10100,0,0,0,0,2,202403.0,10,287313,8
243,244,27,F,single,SEOL,university,0,0,16300,0,0,0,0,4,227863.0,14,244115,10
244,245,28,F,single,SEOL,university,27000,0,35900,0,0,0,0,4,241164.0,13,536336,7
245,246,27,F,single,SEOL,university,22100,0,26700,0,0,0,0,3,262939.0,10,303093,2
246,247,27,F,single,SEOL,university,23000,0,25600,0,0,0,79000,4,249811.0,15,366864,8
247,248,28,F,single,SEOL,university,0,0,24200,0,0,0,106300,2,257663.0,22,61586,7
248,249,28,F,single,SEOL,master,0,0,0,0,0,0,0,1,184607.0,12,110095,10
249,250,27,F,single,SEOL,university,20400,0,31000,0,0,189700,0,3,245367.0,19,214198,10
250,251,27,F,single,SEOL,university,23000,29700,18000,0,0,0,0,6,186465.0,11,178581,13
251,252,28,F,single,SEOL,university,27200,0,36300,0,0,0,0,4,228487.0,14,356510,9
252,253,28,F,single,SEOL,university,0,0,17900,0,0,0,0,3,203452.0,9,248163,10
253,254,28,F,single,SEOL,university,0,0,19800,0,0,157800,0,3,212971.0,7,442362,10
254,255,27,F,single,SEOL,college,21500,0,21100,0,18000,0,0,4,202723.0,20,7710,1
255,256,27,F,single,SEOL,college,23000,0,0,0,0,0,87300,2,190160.0,15,116891,12
256,257,27,F,single,SEOL,university,23000,0,22800,0,0,0,0,4,203873.0,14,350589,10
257,258,28,F,single,SEOL,university,0,0,14800,0,0,0,0,3,203454.0,14,231109,8
258,259,28,F,single,SEOL,college,0,0,22000,0,0,0,0,2,208406.0,11,338198,7
259,260,27,F,single,SEOL,university,25100,40700,16800,0,0,181800,0,10,208681.0,16,582851,3
260,261,27,F,single,SEOL,university,23000,0,18300,0,0,0,85400,4,176191.0,11,79823,6
261,262,27,F,single,SEOL,university,23000,0,14800,0,0,0,0,4,220816.0,23,32651,8
262,263,27,F,single,SEOL,college,0,0,0,0,0,114200,0,2,226703.0,15,610908,8
263,264,28,F,single,SEOL,university,0,0,37000,0,0,0,0,2,231468.0,18,298505,14
264,265,27,F,single,SEOL,university,23000,0,30400,0,0,0,69700,5,226820.0,10,459741,5
265,266,27,F,single,SEOL,university,26700,0,21100,0,0,0,0,4,219706.0,12,408408,4
266,267,28,F,single,SEOL,college,24500,0,21700,0,0,0,0,3,232420.0,15,564631,11
267,268,27,F,single,SEOL,university,0,0,26500,0,0,0,0,2,187648.0,19,334877,8
268,269,28,F,single,SEOL,university,0,34500,29100,0,0,0,0,4,212124.0,16,174345,10
269,270,27,F,single,SEOL,university,21000,0,0,0,0,0,0,2,238642.0,11,331360,6
270,271,27,F,single,SEOL,university,23000,0,13900,0,0,0,0,4,203479.0,13,232355,10
271,272,27,F,single,SEOL,university,20700,0,25200,0,0,0,0,10,221219.0,21,271532,10
272,273,27,F,single,SEOL,university,0,0,15800,0,0,0,0,3,190295.0,11,203480,8
273,274,27,F,single,SEOL,university,0,0,39100,0,0,0,0,3,225786.0,13,569989,10
274,275,27,F,single,SEOL,university,20000,0,20000,0,19000,0,0,4,215258.0,11,259772,10
275,276,27,F,single,SEOL,university,23000,0,16300,0,0,0,0,4,201574.0,15,290581,10
276,277,27,F,single,SEOL,college,23000,0,0,0,0,0,0,3,195959.0,19,70275,10
277,278,27,F,single,SEOL,university,0,38700,41000,0,32000,0,0,3,261442.0,15,338565,13
278,279,27,F,single,SEOL,university,0,0,35300,0,0,0,0,3,223518.0,19,432489,11
279,280,28,F,single,SEOL,university,21500,0,24100,0,0,0,0,4,201813.0,18,78915,13
280,281,27,F,single,SEOL,university,23000,0,29800,0,0,0,0,3,245521.0,15,372141,8
281,282,27,F,single,SEOL,master,20000,0,25400,0,0,0,0,3,218212.0,21,284515,8
282,283,28,F,single,SEOL,university,0,0,29100,0,0,0,0,3,267127.0,11,448733,11
283,284,27,F,single,SEOL,university,0,0,0,0,0,0,0,1,229743.0,11,69792,4
284,285,28,F,single,SEOL,university,20900,0,23800,0,0,160400,83100,4,190782.0,6,230686,13
285,286,27,F,single,SEOL,university,23000,0,23700,0,29000,0,0,5,254684.0,8,565230,11
286,287,28,F,single,SEOL,university,25600,41300,30400,0,0,0,0,5,216563.0,10,244117,2
287,288,28,F,single,SEOL,university,0,0,21800,0,0,0,72200,2,182947.0,9,337665,8
288,289,27,F,single,SEOL,college,0,0,35600,0,0,0,0,3,245365.0,12,580833,8
289,290,27,F,single,SEOL,university,39400,0,20700,0,0,0,0,4,193514.0,16,230122,11
290,291,27,F,single,SEOL,university,32400,0,0,0,0,0,0,3,217741.0,24,0,0
291,292,28,F,single,SEOL,university,23000,0,32200,0,0,0,0,4,195462.0,23,275812,10
292,293,27,F,single,SEOL,university,0,0,21600,0,0,0,0,3,233445.0,15,0,0
